Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date, Purchase Price ,Tax Name,Tax Value,Tax Type, Sales Price ,Opening Stock,Barcode
KING LIMAU,SOAP,,,PIECES,5,AZANIA,,," 44,000.00 ",Tax 18%,18,Inclusive," 5,000.00 ",11,
TOSS,SOAP,,,PIECES,5,TOSS,,," 44,000.00 ",Tax 18%,18,Inclusive," 5,000.00 ",11,
RUNGU KUBWA,VIMIMINIKA,,,PIECES,5,RUNGU,,," 45,500.00 ",Tax 18%,18,Inclusive," 8,500.00 ",5,
HIT NDOGO,VIMIMINIKA,,,PIECES,5,HIT,,," 30,500.00 ",Tax 18%,18,Inclusive," 6,000.00 ",5,
SUKARI PACTI,NAFAKA,,,PIECES,5,BROWN SUGAR,,," 54,000.00 ",Tax 18%,18,Inclusive," 3,000.00 ",20,
ALIZETI OIL 3LT,VIMIMINIKA,,,PIECES,5,IKRAAM,,," 115,000.00 ",Tax 18%,18,Inclusive," 22,000.00 ",5,
CHUMVI KUBWA,NAFAKA,,,PIECES,5,NEEL,,," 13,000.00 ",Tax 18%,18,Inclusive, 500.00 ,29,
CHUMVI NDOGO,NAFAKA,,,PIECES,5,NEEL,,," 5,500.00 ",Tax 18%,18,Inclusive, 200.00 ,23,
PRESTIGE 1KG,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,," 45,000.00 ",Tax 18%,18,Inclusive," 8,500.00 ",6,
PRESTIGE 500GM,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,," 40,000.00 ",Tax 18%,18,Inclusive," 5,500.00 ",8,
PRESTIGE 250GM,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,," 30,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",8,
TOMATO DUMU,FOOD & BEVARAGES,,,PIECES,4,REDGOLD & KING,,," 16,000.00 ",Tax 18%,18,Inclusive," 4,500.00 ",7,
TOMATO & CHILLI KOPO,FOOD & BEVARAGES,,,PIECES,5,REDGOLD & KING,,," 30,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",7,
MAZIWA YA KOPO,FOOD & BEVARAGES,,,PIECES,9,LACTOGEN,,," 120,000.00 ",Tax 18%,18,Inclusive," 16,000.00 ",5,
MAZIWA YA KOPO,FOOD & BEVARAGES,,,PIECES,6,NIDO,,," 90,000.00 ",Tax 18%,18,Inclusive," 17,000.00 ",6,
MAZIWA YA KOPO,FOOD & BEVARAGES,,,PIECES,6,AL MUDHISH,,," 55,000.00 ",Tax 18%,18,Inclusive," 12,000.00 ",6,
KAHAWA 100GM,FOOD & BEVARAGES,,,PIECES,5,AFRICAFE,,," 63,500.00 ",Tax 18%,18,Inclusive," 11,500.00 ",6,
KAHAWA 50GM,FOOD & BEVARAGES,,,PIECES,5,AFRICAFE,,," 36,500.00 ",Tax 18%,18,Inclusive," 7,000.00 ",6,
BLUE BAND 500GM,FOOD & BEVARAGES,,,PIECES,6,BLUE BAND,,," 34,000.00 ",Tax 18%,18,Inclusive," 6,500.00 ",4,
BLUE BAND 250GM,FOOD & BEVARAGES,,,PIECES,12,BLUE BAND,,," 38,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",12,
BLUE BAND 100GM,FOOD & BEVARAGES,,,PIECES,12,BLUE BAND,,," 15,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",29,
KIMBO,FOOD & BEVARAGES,,,PIECES,12,KIMBO,,," 45,000.00 ",Tax 18%,18,Inclusive," 4,000.00 ",11,
DETTOL 500ML,SOAP,,,PIECES,5,DETTOL,,," 47,500.00 ",Tax 18%,18,Inclusive," 8,500.00 ",6,
DETTOL 250ML,SOAP,,,PIECES,5,DETTOL,,," 32,000.00 ",Tax 18%,18,Inclusive," 6,000.00 ",4,
TOMATO PACTI,FOOD & BEVARAGES,,,PIECES,5,REDGOLD,,," 8,000.00 ",Tax 18%,18,Inclusive, 500.00 ,24,
NAZI PACTI,VIMIMINIKA,,,PIECES,5,GSM,,," 30,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",32,
ROYCO KOPO,FOOD & BEVARAGES,,,PIECES,5,ROYCO,,," 68,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",22,
HAND WASH,VIMIMINIKA,,,PIECES,5,HOBBY,,," 32,500.00 ",Tax 18%,18,Inclusive," 3,500.00 ",12,
HAND WASH,VIMIMINIKA,,,PIECES,5,DEXI,,," 15,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",7,
HAND WASH,VIMIMINIKA,,,PIECES,5,BIOX,,," 15,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",6,
PRINGLES,NAFAKA,,,PIECES,5,PRINGLES,,," 31,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",9,
JAM,FOOD & BEVARAGES,,,PIECES,5,REDGOLD,,," 33,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",11,
BEEF & FISH MASALA,NAFAKA,,,PIECES,5,BEEF MASALA,,," 45,000.00 ",Tax 18%,18,Inclusive," 3,000.00 ",12,
MAYONNAISE,VIMIMINIKA,,,PIECES,5,ALFA,,," 6,000.00 ",Tax 18%,18,Inclusive," 6,000.00 ",5,
MAFUTA 5L,VIMIMINIKA,,,PIECES,5,KORIE,,," 97,000.00 ",Tax 18%,18,Inclusive," 28,000.00 ",4,
MAFUTA 3L,VIMIMINIKA,,,PIECES,5,KORIE,,," 98,000.00 ",Tax 18%,18,Inclusive," 18,000.00 ",6,
MAFUTA 1L,VIMIMINIKA,,,PIECES,5,KORIE,,," 62,000.00 ",Tax 18%,18,Inclusive," 5,500.00 ",10,
MAFUTA NAZI 150ML,VIMIMINIKA,,,PIECES,5,HALISI,,," 32,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",20,
MAFUTA NAZI 150ML,VIMIMINIKA,,,PIECES,5,MINARA,,," 17,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",11,
MAFUTA NAZI 70ML,VIMIMINIKA,,,PIECES,5,HALISI,,," 14,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",22,
MAFUTA NAZI 500ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,," 42,500.00 ",Tax 18%,18,Inclusive," 9,000.00 ",6,
MAFUTA NAZI 200ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,," 36,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",9,
MAFUTA NAZI 100ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,," 26,000.00 ",Tax 18%,18,Inclusive," 2,000.00 ",14,
MAFUTANAZI 50ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,," 18,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",21,
MAFUTA NYWELE 50ML,VIMIMINIKA,,,PIECES,5,BODY LUXE,,," 90,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",12,
NGANO,NAFAKA,,,PIECES,5,AZAM P.P.F,,," 8,000.00 ",Tax 18%,18,Inclusive," 2,000.00 ",19,
NGANO,NAFAKA,,,PIECES,5,AZAM FLOUR ,,," 8,000.00 ",Tax 18%,18,Inclusive," 2,200.00 ",14,
TEA MASALA KOPO,NAFAKA,,,PIECES,5,TROPICAL HEAT,,," 68,000.00 ",Tax 18%,18,Inclusive," 7,000.00 ",6,
VANILLA,VIMIMINIKA,,,PIECES,5,NANDI,,," 7,000.00 ",Tax 18%,18,Inclusive," 2,000.00 ",12,
BAKING POWDER,NAFAKA,,,PIECES,5,CHAPA MANDASHI,,," 9,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",11,
TEA MASALA PACTI,NAFAKA,,,PIECES,5,TROPICAL HEAT,,," 8,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",23,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,SKALA,,," 11,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",12,
MAFUTA KUPAKA 50G,VIMIMINIKA,,,PIECES,5,SKALA,,," 6,500.00 ",Tax 18%,18,Inclusive, 500.00 ,12,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,BABYCARE,,," 11,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",11,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,BABYCARE,,," 80,000.00 ",Tax 18%,18,Inclusive, 300.00 ,10,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,BOSS,,," 5,500.00 ",Tax 18%,18,Inclusive," 1,000.00 ",6,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,HERBAL,,," 11,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",12,
MAFUTA KUPAKA 50G,VIMIMINIKA,,,PIECES,5,HERBAL,,," 8,999.00 ",Tax 18%,18,Inclusive, 500.00 ,10,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,HERBAL,,," 8,999.00 ",Tax 18%,18,Inclusive, 300.00 ,24,
MAFUTA KUPAKA 95ML,VIMIMINIKA,,,PIECES,5,VASELINE,,," 30,000.00 ",Tax 18%,18,Inclusive," 3,000.00 ",12,
MAFUTA KUPAKA 45ML,VIMIMINIKA,,,PIECES,5,VASELINE,,," 20,000.00 ",Tax 18%,18,Inclusive," 2,000.00 ",12,
MAFUTA KUPAKA 25ML,VIMIMINIKA,,,PIECES,5,VASELINE,,," 18,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",23,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,AFROCARE,,," 18,001.00 ",Tax 18%,18,Inclusive, 300.00 ,12,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,VESTLINE,,," 18,002.00 ",Tax 18%,18,Inclusive, 300.00 ,12,
BISCUIT TIK TOK,SNACKS,,,BOX,5,MAMA TIK TOK,,," 43,000.00 ",Tax 18%,18,Inclusive," 3,000.00 ",23,
BISCUIT EETSUM,SNACKS,,,BOX,5,EET-SUM MORE,,," 47,000.00 ",Tax 18%,18,Inclusive," 5,500.00 ",12,
BISCUIT LOYAL CREAM,SNACKS,,,BOX,5,LOYAL CREAM,,," 33,000.00 ",Tax 18%,18,Inclusive, 600.00 ,14,
BISCUIT BOURBON,SNACKS,,,BOX,5,BOURBON, ,," 7,000.00 ",Tax 18%,18,Inclusive, 700.00 ,23,
CHOCKLATE ALPELLA,SNACKS,,,PIECES,5,ALPELLA,,," 10,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",14,
CHOCKLATE BREAK,SNACKS,,,PIECES,5,BREAK DELIGHT,,," 14,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",9,
CHOCKLATE YUNKERS,SNACKS,,,PIECES,5,SNIKKER,,," 22,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",12,
CHOCKLATE SNIKKERS ,SNACKS,,,PIECES,5,SNIKKER,,," 33,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",19,
CHOCKLATE RUBYS,SNACKS,,,PIECES,5,RUBYS MAGIC,,," 35,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",24,
CHOCKLATE FIORY,SNACKS,,,PIECES,5,FIORY,,," 10,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",12,
KARANGA GET FRESH,SNACKS,,,PIECES,5,GETFRESH,,," 8,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",18,
TOMATO KINGS DUMU 5LIT,VIMIMINIKA,,,PIECES,5,KING,,," 16,000.00 ",Tax 18%,18,Inclusive," 4,500.00 ",8,
BUBLISH PK,SNACKS,,,PIECES,5,BUBLISH,,," 30,000.00 ",Tax 18%,18,Inclusive, 500.00 ,60,
BUBLISH PK NDOGO,SNACKS,,,PIECES,5,BUBLISH,,," 8,500.00 ",Tax 18%,18,Inclusive, 250.00 ,0,
KAHAWA 1.6G,FOOD & BEVARAGES,,,PIECES,5,AFRICAFE,,," 18,000.00 ",Tax 18%,18,Inclusive, 200.00 ,100,
MAJANI CHAI BORA 100GM,FOOD & BEVARAGES,,,PIECES,5,CHAI BORA,,," 35,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",12,
MAJANI CHAI KILIMANJARO 100GM,FOOD & BEVARAGES,,,PIECES,5,KILIMANJARO,,," 16,500.00 ",Tax 18%,18,Inclusive," 2,500.00 ",5,
MAJANI A PRIDE 100GM,FOOD & BEVARAGES,,,PIECES,5,AFRCAN PRIDE,,," 18,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",6,
MAJANI GREEN LABEL 100GM,FOOD & BEVARAGES,,,PIECES,5,GREEN LABEL,,," 13,500.00 ",Tax 18%,18,Inclusive," 1,000.00 ",12,
MAJANI GREEN LABEL 50GM,FOOD & BEVARAGES,,,PIECES,5,GREEN LABEL,,," 15,000.00 ",Tax 18%,18,Inclusive, 800.00 ,28,
SABUNI MAQ 250gm,SOAP,,,PIECES,5,MAQ,,," 52,500.00 ",Tax 18%,18,Inclusive," 2,000.00 ",25,
PADS HQ,PERSONAL CARE,,,PIECES,5,HQ,,," 80,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",17,
BABY WIPES SOFTCARE,BABY CARE,,,PIECES,5,SOFTCARE,,," 32,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",13,
BABY WIPES BREEZE,BABY CARE,,,PIECES,5,BREEZE,,," 30,000.00 ",Tax 18%,18,Inclusive," 5,500.00 ",12,
PADS LAVY,PERSONAL CARE,,,PIECES,5,LAVY,,," 65,000.00 ",Tax 18%,18,Inclusive," 4,000.00 ",24,
OMO 1KG,SOAP,,,PIECES,5,OMO,,," 85,000.00 ",Tax 18%,18,Inclusive," 7,500.00 ",5,
PADS SOFTCARE ,PERSONAL CARE,,,PIECES,5,SOFTCARE,,," 36,000.00 ",Tax 18%,18,Inclusive," 2,000.00 ",44,
BABY WIPES ROYAL,BABY CARE,,,PIECES,5,ROYAL,,," 90,000.00 ",Tax 18%,18,Inclusive," 5,000.00 ",23,
BABY WIPES SLEEPS,BABY CARE,,,PIECES,5,SLEEPS,,," 45,000.00 ",Tax 18%,18,Inclusive," 5,000.00 ",12,
BABY WIPES MIMA,BABY CARE,,,PIECES,5,MINA,,," 45,000.00 ",Tax 18%,18,Inclusive," 5,000.00 ",12,
TISUE VIVA,PERSONAL CARE,,,PIECES,5,SUPERSOFT,,," 21,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",29,
TISUE NAPTKIN,PERSONAL CARE,,,PIECES,5,NAPTKIN,,," 21,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",9,
PADS CATHY,PERSONAL CARE,,,PIECES,5,CATHY,,," 80,000.00 ",Tax 18%,18,Inclusive," 5,000.00 ",21,
PAMPAS SLEEP,BABY CARE,,,PIECES,5,SLEEPS,,," 72,000.00 ",Tax 18%,18,Inclusive," 14,000.00 ",5,
PAMPAS BABY CHICK,BABY CARE,,,PIECES,5,BABY CHICK,,," 40,000.00 ",Tax 18%,18,Inclusive," 4,000.00 ",9,
PAPAS BABY CHICK LARGE,BABY CARE,,,PIECES,5,BABY CHICK,,," 75,000.00 ",Tax 18%,18,Inclusive," 14,000.00 ",4,
PAMPAS SOFTCARE SMALL,BABY CARE,,,PIECES,5,SOFTCARE,,," 45,000.00 ",Tax 18%,18,Inclusive," 4,000.00 ",9,
PAMPAS SOFTCARE MEDIUM,BABY CARE,,,PIECES,5,SOFTCARE,,," 82,000.00 ",Tax 18%,18,Inclusive," 15,000.00 ",14,
PAMPAS SOFTCARE LARGE,BABY CARE,,,PIECES,5,SOFTCARE,,," 80,000.00 ",Tax 18%,18,Inclusive," 24,000.00 ",5,
OMO 40g,SOAP,,,PIECES,5,OMO,,," 24,000.00 ",Tax 18%,18,Inclusive, 200.00 ,70,
SABUNI MARAHABA 500g,SOAP,,,PIECES,5,MARAHABA,,," 31,000.00 ",Tax 18%,18,Inclusive," 1,200.00 ",23,
SABUNI DOFI 500g,SOAP,,,PIECES,5,DOFI,,," 31,000.00 ",Tax 18%,18,Inclusive," 1,200.00 ",27,
OMO 500g,SOAP,,,PIECES,5,OMO,,," 24,500.00 ",Tax 18%,18,Inclusive," 4,500.00 ",6,
ARIEL 500g,SOAP,,,PIECES,5,ARIEL,,," 24,500.00 ",Tax 18%,18,Inclusive," 5,000.00 ",5,
SABUNI MARAHABA180g,SOAP,,,PIECES,5,MARAHABA,,," 2,000.00 ",Tax 18%,18,Inclusive, 500.00 ,37,
OMO 200g,SOAP,,,PIECES,5,OMO,,," 31,000.00 ",Tax 18%,18,Inclusive, 500.00 ,24,
SABUNI DOLPHY 180g,SOAP,,,PIECES,5,NICEONE,,," 27,000.00 ",Tax 18%,18,Inclusive, 500.00 ,40,
SABUNI NICEONE 400g,SOAP,,,PIECES,5,NICEONE,,," 17,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",21,
SABUNI NICEONE 180g,SOAP,,,PIECES,5,NICEONE,,," 90,000.00 ",Tax 18%,18,Inclusive, 500.00 ,33,
SABUNI JAMAA,SOAP,,,PIECES,5,JAMAA,,," 73,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",16,
SABUNI WHITEWASH,SOAP,,,PIECES,5,WHITE WASH,,," 75,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",7,
SABUNI MAGADI,SOAP,,,PIECES,5,MAGADI,,," 15,500.00 ",Tax 18%,18,Inclusive," 3,000.00 ",10,
SABUNI ALOVERA,SOAP,,,PIECES,5,ALOVERA,,," 14,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",12,
SABUNI TETMOSO wakubwa,SOAP,,,PIECES,5,,,," 22,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",12,
SABUNI TETMOSO watoto,SOAP,,,PIECES,5,,,," 22,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",12,
SABUNI PROTEX herbal,SOAP,,,PIECES,5,,,," 25,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",12,
SABUNI PROTEX herbal ndogo,SOAP,,,PIECES,5,,,," 18,000.00 ",Tax 18%,18,Inclusive," 2,000.00 ",12,
SABUNI IMPERIAL ndogo,SOAP,,,PIECES,5,,,," 16,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",22,
SABUNI IMPERIAL kubwa,SOAP,,,PIECES,5,,,," 23,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",22,
SABUNI DETOL ORIGINAL 175g,SOAP,,,PIECES,5,,,," 25,000.00 ",Tax 18%,18,Inclusive," 3,000.00 ",10,
SABUNI DETOL ORIGINAL ndogo,SOAP,,,PIECES,5,,,," 15,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",10,
SABUNI Pears,SOAP,,,PIECES,5,,,," 34,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",12,
SABUNI Life buoy,SOAP,,,PIECES,5,,,," 26,000.00 ",Tax 18%,18,Inclusive," 3,000.00 ",12,
SABUNI Junior 100g,SOAP,,,PIECES,5,DETTOL,,," 16,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",12,
SABUNI DETOL SKIN CARE 100mg,SOAP,,,PIECES,5,DETTOL,,," 16,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",4,
SABUNI DETOL COOL 100g,SOAP,,,PIECES,5,,,," 90,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",5,
SABUNI DRS 80g,SOAP,,,PIECES,5,,,," 8,750.00 ",Tax 18%,18,Inclusive, 500.00 ,43,
SABUNI MO BEAUTY,SOAP,,,PIECES,5,MO,,," 8,750.00 ",Tax 18%,18,Inclusive, 500.00 ,12,
SABUNI FAMILY,SOAP,,,PIECES,5,FAMILY,,," 8,750.00 ",Tax 18%,18,Inclusive, 500.00 ,7,
SABUNI RUNGU ,SOAP,,,PIECES,5,RUNGU,,," 8,750.00 ",Tax 18%,18,Inclusive, 500.00 ,9,
SABUNN MAGADI vipande,SOAP,,,PIECES,5,MAGADI,,," 19,000.00 ",Tax 18%,18,Inclusive, 100.00 ,136,
COLGATE HERBAL 175g,PERSONAL CARE,,,PIECES,5,,,," 27,500.00 ",Tax 18%,18,Inclusive," 5,500.00 ",6,
colgate protection 140g,PERSONAL CARE,,,PIECES,5,,,," 76,000.00 ",Tax 18%,18,Inclusive," 5,000.00 ",18,
COLGATE 35g,PERSONAL CARE,,,PIECES,5,,,," 30,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",12,
COLGATE HERBAL 70g,PERSONAL CARE,,,PIECES,5,,,," 81,000.00 ",Tax 18%,18,Inclusive," 3,000.00 ",12,
COLGATE TRIPLE A 70g,PERSONAL CARE ,,,PIECES,5,,,," 15,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",6,
COLGATE PROTECTION 15g,PERSONAL CARE ,,,PIECES,5,,,," 15,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",24,
COLGATE PROTECTION 70g,PERSONAL CARE ,,,PIECES,5,,,," 81,000.00 ",Tax 18%,18,Inclusive," 3,000.00 ",12,
COLGATE MAX FRESH 125g,PERSONAL CARE,,,PIECES,5,,,," 38,000.00 ",Tax 18%,18,Inclusive," 4,000.00 ",11,
COLGATE CHARCOL 120g,PERSONAL CARE,,,PIECES,5,,,," 47,000.00 ",Tax 18%,18,Inclusive," 5,500.00 ",10,
WHITEDENT 250g,PERSONAL CARE,,,PIECES,5,,,," 25,000.00 ",Tax 18%,18,Inclusive," 4,000.00 ",6,
WHITEDENT 70g,PERSONAL CARE,,,PIECES,5,,,," 18,000.00 ",Tax 18%,18,Inclusive," 2,000.00 ",23,
WHITEDENT 20g,PERSONAL CARE,,,PIECES,5,,,," 6,000.00 ",Tax 18%,18,Inclusive, 700.00 ,34,
WHITEDENT CHARCOL 70g,PERSONAL CARE,,,PIECES,5,,,," 25,000.00 ",Tax 18%,18,Inclusive," 2,500.00 ",10,
TOILET PAPER ,PERSONAL CARE,,,PIECES,5,,,," 24,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",18,
SABUNI DOVE SHOWER 1200ml,PERSONAL CARE,,,PIECES,5,,,," 60,000.00 ",Tax 18%,18,Inclusive," 11,500.00 ",5,
DETOL SHOWER 1200ml,PERSONAL CARE ,,,PIECES,5,,,," 7,000.00 ",Tax 18%,18,Inclusive," 11,500.00 ",2,
OMO BLEACH LEMON,PERSONAL CARE,,,PIECES,5,,,," 28,500.00 ",Tax 18%,18,Inclusive," 6,000.00 ",3,
JIK 750 ml,PERSONAL CARE ,,,PIECES,5,,,," 28,000.00 ",Tax 18%,18,Inclusive," 6,000.00 ",6,
UNGA LISHE DESTENI angels 3kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,," 17,500.00 ",Tax 18%,18,Inclusive," 21,000.00 ",1,
UNGA LISHE DESTENI wonders 1kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,," 12,000.00 ",Tax 18%,18,Inclusive," 13,000.00 ",4,
UNGA LISHE DESTENI miracles 1kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,," 9,000.00 ",Tax 18%,18,Inclusive," 11,000.00 ",3,
UNGA LISHE DESTENI familia 1kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,," 6,000.00 ",Tax 18%,18,Inclusive," 8,000.00 ",3,
SABUNI COVEX 115g,PERSONAL CARE,,,PIECES,5,,,," 13,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",12,
MSWAKI COLGATE,PERSONAL CARE,,,PIECES,5,,,," 16,000.00 ",Tax 18%,18,Inclusive," 1,200.00 ",4,
MSWAKI FRESH DOCTOR,PERSONAL CARE ,,,PIECES,5,,,," 12,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",6,
MSWAKI WHITEDENT,PERSONAL CARE,,,PIECES,5,,,," 13,500.00 ",Tax 18%,18,Inclusive, 500.00 ,31,
TOOTH PICK DENTAL FLOSS,PERSONAL CARE,,,PIECES,5,,,," 12,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",12,
PAMBA NDOGO,PERSONAL CARE,,,PIECES,5,,,," 13,000.00 ",Tax 18%,18,Inclusive, 500.00 ,10,
PAMBA KUBWA,PERSONAL CARE,,,PIECES,5,,,, 900.00 ,Tax 18%,18,Inclusive," 1,000.00 ",8,
TOOTH PICK ndogo,PERSONAL CARE,,,PIECES,5,,,," 12,000.00 ",Tax 18%,18,Inclusive, 500.00 ,39,
TOOTH PICK kubwa,PERSONAL CARE,,,PIECES,5,,,," 18,000.00 ",Tax 18%,18,Inclusive," 1,000.00 ",35,
WHITEDENT 190g,PERSONAL CARE,,,PIECES,5,,,," 20,000.00 ",Tax 18%,18,Inclusive," 4,200.00 ",6,
PIPI BIGBOM ,SNACKS,,,PIECES,5,,,," 10,500.00 ",Tax 18%,18,Inclusive, 200.00 ,41,
PIPI KING KUBWA,SNACKS,,,PIECES,5,,,, 120.00 ,Tax 18%,18,Inclusive, 200.00 ,46,
PIPI JOYPOP,SNACKS,,,PIECES,5,,,, 20.00 ,Tax 18%,18,Inclusive, 50.00 ,82,
PIPI ASORTED LOLIPOP,SNACKS,,,PIECES,5,,,, 80.00 ,Tax 18%,18,Inclusive, 100.00 ,75,
VIM ALL PURPOSE CLEANER,SOAP,,,PIECES,5,VIM,,," 13,500.00 ",Tax 18%,18,Inclusive," 3,000.00 ",5,
